01/07/2016 08:00:34.725,1.08596,1.08599,01/07/2016 08:00:00.520,1.08588,01/07/2016 08:00:34.725,1.08598
01/07/2016 08:01:28.015,1.08611,1.08613,01/07/2016 08:00:34.725,1.08598,01/07/2016 08:01:28.015,1.08608
01/07/2016 08:01:30.261,1.08615,1.08619,01/07/2016 08:01:28.015,1.08608,01/07/2016 08:01:30.261,1.08618
01/07/2016 08:01:36.728,1.08625,1.08629,01/07/2016 08:01:30.261,1.08618,01/07/2016 08:01:36.728,1.08628
01/07/2016 08:01:40.046,1.08637,1.08639,01/07/2016 08:01:36.728,1.08628,01/07/2016 08:01:40.046,1.08638
01/07/2016 08:02:06.812,1.08646,1.08649,01/07/2016 08:01:40.046,1.08638,01/07/2016 08:02:06.812,1.08648
01/07/2016 08:03:28.479,1.08656,1.08659,01/07/2016 08:02:06.812,1.08648,01/07/2016 08:03:28.479,1.08658
01/07/2016 08:03:31.143,1.08668,1.08669,01/07/2016 08:03:28.479,1.08658,01/07/2016 08:03:31.143,1.08668
01/07/2016 08:05:01.516,1.08678,1.08680,01/07/2016 08:03:31.143,1.08668,01/07/2016 08:05:01.516,1.08678
01/07/2016 08:05:36.888,1.08687,1.08689,01/07/2016 08:05:01.516,1.08678,01/07/2016 08:05:36.888,1.08688
01/07/2016 08:05:56.211,1.08695,1.08699,01/07/2016 08:05:36.888,1.08688,01/07/2016 08:05:56.211,1.08698
01/07/2016 08:06:43.080,1.08675,1.08677,01/07/2016 08:05:56.211,1.08688,01/07/2016 08:06:43.080,1.08678
01/07/2016 08:06:44.205,1.08665,1.08667,01/07/2016 08:06:43.080,1.08678,01/07/2016 08:06:44.205,1.08668
01/07/2016 08:07:48.877,1.08685,1.08689,01/07/2016 08:06:44.205,1.08678,01/07/2016 08:07:48.877,1.08688
01/07/2016 08:08:25.052,1.08690,1.08699,01/07/2016 08:07:48.877,1.08688,01/07/2016 08:08:25.052,1.08698
01/07/2016 08:08:29.361,1.08707,1.08710,01/07/2016 08:08:25.052,1.08698,01/07/2016 08:08:29.361,1.08708
01/07/2016 08:09:14.107,1.08685,1.08687,01/07/2016 08:08:29.361,1.08698,01/07/2016 08:09:14.107,1.08688
01/07/2016 08:09:35.936,1.08675,1.08677,01/07/2016 08:09:14.107,1.08688,01/07/2016 08:09:35.936,1.08678
01/07/2016 08:09:39.959,1.08665,1.08667,01/07/2016 08:09:35.936,1.08678,01/07/2016 08:09:39.959,1.08668
01/07/2016 08:09:50.356,1.08655,1.08657,01/07/2016 08:09:39.959,1.08668,01/07/2016 08:09:50.356,1.08658
01/07/2016 08:10:15.784,1.08646,1.08647,01/07/2016 08:09:50.356,1.08658,01/07/2016 08:10:15.784,1.08648
01/07/2016 08:10:53.897,1.08635,1.08637,01/07/2016 08:10:15.784,1.08648,01/07/2016 08:10:53.897,1.08638
01/07/2016 08:11:45.739,1.08624,1.08627,01/07/2016 08:10:53.897,1.08638,01/07/2016 08:11:45.739,1.08628
01/07/2016 08:13:06.934,1.08648,1.08650,01/07/2016 08:11:45.739,1.08638,01/07/2016 08:13:06.934,1.08648
01/07/2016 08:13:32.350,1.08659,1.08662,01/07/2016 08:13:06.934,1.08648,01/07/2016 08:13:32.350,1.08658
01/07/2016 08:13:32.827,1.08666,1.08669,01/07/2016 08:13:32.350,1.08658,01/07/2016 08:13:32.827,1.08668
01/07/2016 08:13:53.546,1.08645,1.08647,01/07/2016 08:13:32.827,1.08658,01/07/2016 08:13:53.546,1.08648
01/07/2016 08:14:21.405,1.08669,1.08670,01/07/2016 08:13:53.546,1.08658,01/07/2016 08:14:21.405,1.08668
01/07/2016 08:14:58.233,1.08675,1.08679,01/07/2016 08:14:21.405,1.08668,01/07/2016 08:14:58.233,1.08678
01/07/2016 08:15:55.335,1.08689,1.08691,01/07/2016 08:14:58.233,1.08678,01/07/2016 08:15:55.335,1.08688
01/07/2016 08:16:19.872,1.08663,1.08665,01/07/2016 08:15:55.335,1.08678,01/07/2016 08:16:19.872,1.08668
01/07/2016 08:16:29.169,1.08655,1.08657,01/07/2016 08:16:19.872,1.08668,01/07/2016 08:16:29.169,1.08658
01/07/2016 08:16:51.545,1.08682,1.08683,01/07/2016 08:16:29.169,1.08668,01/07/2016 08:16:51.545,1.08678
01/07/2016 08:17:08.812,1.08689,1.08691,01/07/2016 08:16:51.545,1.08678,01/07/2016 08:17:08.812,1.08688
01/07/2016 08:18:51.041,1.08696,1.08699,01/07/2016 08:17:08.812,1.08688,01/07/2016 08:18:51.041,1.08698
01/07/2016 08:18:57.116,1.08709,1.08710,01/07/2016 08:18:51.041,1.08698,01/07/2016 08:18:57.116,1.08708
01/07/2016 08:21:35.641,1.08685,1.08687,01/07/2016 08:18:57.116,1.08698,01/07/2016 08:21:35.641,1.08688
01/07/2016 08:21:41.108,1.08675,1.08676,01/07/2016 08:21:35.641,1.08688,01/07/2016 08:21:41.108,1.08678
01/07/2016 08:22:45.078,1.08665,1.08667,01/07/2016 08:21:41.108,1.08678,01/07/2016 08:22:45.078,1.08668
01/07/2016 08:22:59.453,1.08652,1.08654,01/07/2016 08:22:45.078,1.08668,01/07/2016 08:22:59.453,1.08658
01/07/2016 08:23:02.916,1.08645,1.08646,01/07/2016 08:22:59.453,1.08658,01/07/2016 08:23:02.916,1.08648
01/07/2016 08:23:54.763,1.08667,1.08670,01/07/2016 08:23:02.916,1.08658,01/07/2016 08:23:54.763,1.08668
01/07/2016 08:24:10.533,1.08686,1.08687,01/07/2016 08:23:54.763,1.08668,01/07/2016 08:24:10.533,1.08678
